Gender,Caste,coaching,Class_ten_education,twelve_education,medium,Class_X_Grade,Class_XII_Grade,Father_occupation,Mother_occupation,time,Performance
male,General,No Coaching,SEBA,AHSEC,OTHERS,Vg,Vg,BANK_OFFICIAL,SCHOOL_TEACHER,ONE,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,ONE,Excellent
male,General,No Coaching,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE,Excellent
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,TWO,Excellent
male,General,Outside Assam,OTHERS,OTHERS,ENGLISH,Excellent,Vg,DOCTOR,OTHERS,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,COLLEGE_TEACHER,TWO,Excellent
female,General,No Coaching,SEBA,AHSEC,ASSAMESE,Good,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Excellent
female,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,ONE,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,OBC,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,ONE,Excellent
female,General,Outside Assam,CBSE,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE,TWO,Excellent
female,General,Outside Assam,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Excellent
male,SC,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,SC,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Excellent
female,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,OBC,Within Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE,THREE,Excellent
female,General,Within Assam,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,SC,Outside Assam,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Good,COLLEGE_TEACHER,HOUSE_WIFE,THREE,Excellent
male,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Good,BANK_OFFICIAL,HOUSE_WIFE,TWO,Excellent
male,General,Outside Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,OBC,Within Assam,SEBA,AHSEC,ASSAMESE,Average,Average,BUSINESS,OTHERS,ONE,Excellent
male,General,No Coaching,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,OBC,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
female,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,OBC,Within Assam,SEBA,AHSEC,OTHERS,Good,Good,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,OTHERS,OTHERS,ENGLISH,Excellent,Good,OTHERS,OTHERS,ONE,Excellent
male,OBC,Outside Assam,OTHERS,OTHERS,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ASSAMESE,Vg,Good,OTHERS,SCHOOL_TEACHER,THREE,Excellent
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Excellent
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,ONE,Excellent
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Excellent
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Outside Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Excellent
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Excellent
female,OBC,Within Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Excellent
male,General,No Coaching,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE,ONE,Excellent
male,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
female,OBC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Excellent
male,General,Outside Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,OTHERS,Good,Excellent,CULTIVATOR,HOUSE_WIFE,TWO,Excellent
male,General,Outside Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Excellent
male,General,Within Assam,SEBA,CBSE,ENGLISH,Vg,Good,OTHERS,OTHERS,THREE,Excellent
female,General,Within Assam,SEBA,AHSEC,ASSAMESE,Good,Average,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Excellent
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,Others,TWO,Excellent
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Excellent
male,General,Outside Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Excellent
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Excellent
male,General,No Coaching,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,ONE,Excellent
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,ONE,Excellent
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO,Excellent
female,General,Within Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,BANK_OFFICIAL,Others,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,OTHERS,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,ONE,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,SEBA,AHSEC,OTHERS,Vg,Excellent,BUSINESS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,SEBA,CBSE,ENGLISH,Good,Good,OTHERS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Vg,Vg,COLLEGE_TEACHER,COLLEGE_TEACHER,FOUR or More,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,THREE,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Vg,Vg,ENGINEER,HOUSE_WIFE,THREE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,THREE,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Vg
male,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,ONE,Vg
female,OBC,Within Assam,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Vg
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Good,Vg,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO,Vg
female,OBC,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,Others,TWO,Vg
male,OBC,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,OTHERS,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE,THREE,Vg
female,OBC,Within Assam,CBSE,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Vg
male,General,Within Assam,SEBA,AHSEC,OTHERS,Good,Vg,BUSINESS,HOUSE_WIFE,TWO,Vg
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE,Vg
male,SC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Vg
female,OBC,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO,Vg
male,OBC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
male,OBC,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,ONE,Vg
male,OBC,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,TWO,Vg
male,OBC,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,THREE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,ONE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Vg
female,General,No Coaching,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
female,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,THREE,Vg
male,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Vg,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO,Vg
female,General,Within Assam,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE,Vg
male,General,Outside Assam,OTHERS,OTHERS,ENGLISH,Vg,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,ONE,Vg
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO,Vg
female,OBC,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE,Vg
female,SC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,CBSE,ENGLISH,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE,Vg
male,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER,THREE,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Good,OTHERS,SCHOOL_TEACHER,TWO,Vg
male,SC,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,ONE,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE,Vg
male,OBC,No Coaching,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Vg
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO,Vg
male,OBC,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO,Vg
male,General,No Coaching,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE,Vg
male,General,No Coaching,CBSE,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE,Vg
male,SC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,THREE,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,TWO,Vg
male,General,Outside Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,TWO,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Vg,Vg,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,TWO,Vg
female,OBC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE,THREE,Vg
female,OBC,Outside Assam,SEBA,AHSEC,ENGLISH,Good,Vg,OTHERS,HOUSE_WIFE,THREE,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
male,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO,Vg
male,OBC,No Coaching,SEBA,AHSEC,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE,FOUR or More,Vg
male,OBC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Vg
female,General,Within Assam,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,SCHOOL_TEACHER,TWO,Vg
male,OBC,Outside Assam,SEBA,CBSE,ENGLISH,Vg,Excellent,BUSINESS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Vg
female,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE,Vg
male,General,No Coaching,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,SCHOOL_TEACHER,ONE,Vg
female,OBC,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS,THREE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO,Vg
female,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,TWO,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE,Vg
male,General,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Vg
female,General,Within Assam,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,TWO,Vg
female,OBC,Within Assam,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO,Vg
